mode,episode,score
stochastic,0,2.0
stochastic,1,47.0
stochastic,2,21.0
stochastic,3,91.0
stochastic,4,137.0
stochastic,5,103.0
stochastic,6,8.0
stochastic,7,1.0
stochastic,8,23.0
stochastic,9,29.0
deterministic,0,16.0
deterministic,1,11.0
deterministic,2,36.0
deterministic,3,1.0
deterministic,4,18.0
deterministic,5,3093.0
deterministic,6,1.0
deterministic,7,1.0
deterministic,8,20.0
deterministic,9,1.0
