mode,episode,score
stochastic,0,77.0
stochastic,1,22.0
stochastic,2,305.0
stochastic,3,200.0
stochastic,4,86.0
stochastic,5,200.0
stochastic,6,149.0
stochastic,7,69.0
stochastic,8,626.0
stochastic,9,82.0
deterministic,0,847.0
deterministic,1,455.0
deterministic,2,742.0
deterministic,3,58.0
deterministic,4,1.0
deterministic,5,698.0
deterministic,6,100.0
deterministic,7,314.0
deterministic,8,295.0
deterministic,9,371.0
