mode,episode,score
stochastic,0,17.0
stochastic,1,28.0
stochastic,2,116.0
stochastic,3,2.0
stochastic,4,80.0
stochastic,5,145.0
stochastic,6,236.0
stochastic,7,301.0
stochastic,8,143.0
stochastic,9,268.0
deterministic,0,2.0
deterministic,1,412.0
deterministic,2,329.0
deterministic,3,532.0
deterministic,4,198.0
deterministic,5,301.0
deterministic,6,89.0
deterministic,7,345.0
deterministic,8,141.0
deterministic,9,5.0
