mode,episode,score
stochastic,0,338.0
stochastic,1,194.0
stochastic,2,41.0
stochastic,3,22.0
stochastic,4,2.0
stochastic,5,55.0
stochastic,6,37.0
stochastic,7,553.0
stochastic,8,132.0
stochastic,9,305.0
deterministic,0,683.0
deterministic,1,2.0
deterministic,2,266.0
deterministic,3,314.0
deterministic,4,147.0
deterministic,5,329.0
deterministic,6,358.0
deterministic,7,595.0
deterministic,8,470.0
deterministic,9,239.0
