mode,episode,score
stochastic,0,12.0
stochastic,1,208.0
stochastic,2,157.0
stochastic,3,20.0
stochastic,4,40.0
stochastic,5,13.0
stochastic,6,93.0
stochastic,7,505.0
stochastic,8,15.0
stochastic,9,26.0
deterministic,0,286.0
deterministic,1,890.0
deterministic,2,222.0
deterministic,3,362.0
deterministic,4,13.0
deterministic,5,600.0
deterministic,6,245.0
deterministic,7,173.0
deterministic,8,417.0
deterministic,9,86.0
