mode,episode,score
stochastic,0,10.0
stochastic,1,89.0
stochastic,2,10.0
stochastic,3,42.0
stochastic,4,485.0
stochastic,5,30.0
stochastic,6,308.0
stochastic,7,333.0
stochastic,8,11.0
stochastic,9,91.0
deterministic,0,367.0
deterministic,1,202.0
deterministic,2,524.0
deterministic,3,482.0
deterministic,4,443.0
deterministic,5,296.0
deterministic,6,922.0
deterministic,7,749.0
deterministic,8,598.0
deterministic,9,67.0
