mode,episode,score
stochastic,0,459.0
stochastic,1,13.0
stochastic,2,7.0
stochastic,3,94.0
stochastic,4,267.0
stochastic,5,126.0
stochastic,6,290.0
stochastic,7,61.0
stochastic,8,230.0
stochastic,9,141.0
deterministic,0,322.0
deterministic,1,338.0
deterministic,2,41.0
deterministic,3,1213.0
deterministic,4,275.0
deterministic,5,180.0
deterministic,6,114.0
deterministic,7,1619.0
deterministic,8,97.0
deterministic,9,3037.0
