mode,episode,score
stochastic,0,3.0
stochastic,1,276.0
stochastic,2,4.0
stochastic,3,166.0
stochastic,4,248.0
stochastic,5,415.0
stochastic,6,49.0
stochastic,7,2.0
stochastic,8,43.0
stochastic,9,43.0
deterministic,0,428.0
deterministic,1,151.0
deterministic,2,610.0
deterministic,3,145.0
deterministic,4,2.0
deterministic,5,697.0
deterministic,6,1148.0
deterministic,7,481.0
deterministic,8,190.0
deterministic,9,13.0
