mode,episode,score
stochastic,0,8.0
stochastic,1,29.0
stochastic,2,19.0
stochastic,3,10.0
stochastic,4,16.0
stochastic,5,4.0
stochastic,6,28.0
stochastic,7,0.0
stochastic,8,0.0
stochastic,9,24.0
deterministic,0,32.0
deterministic,1,49.0
deterministic,2,50.0
deterministic,3,32.0
deterministic,4,8.0
deterministic,5,20.0
deterministic,6,13.0
deterministic,7,18.0
deterministic,8,64.0
deterministic,9,107.0
