mode,episode,score
stochastic,0,2.0
stochastic,1,95.0
stochastic,2,329.0
stochastic,3,151.0
stochastic,4,100.0
stochastic,5,351.0
stochastic,6,314.0
stochastic,7,185.0
stochastic,8,16.0
stochastic,9,11.0
deterministic,0,472.0
deterministic,1,527.0
deterministic,2,156.0
deterministic,3,158.0
deterministic,4,2008.0
deterministic,5,4.0
deterministic,6,911.0
deterministic,7,206.0
deterministic,8,62.0
deterministic,9,181.0
