mode,episode,score
stochastic,0,104.0
stochastic,1,70.0
stochastic,2,122.0
stochastic,3,330.0
stochastic,4,111.0
stochastic,5,149.0
stochastic,6,143.0
stochastic,7,428.0
stochastic,8,84.0
stochastic,9,154.0
deterministic,0,236.0
deterministic,1,449.0
deterministic,2,299.0
deterministic,3,244.0
deterministic,4,52.0
deterministic,5,40.0
deterministic,6,827.0
deterministic,7,2.0
deterministic,8,12.0
deterministic,9,363.0
