mode,episode,score
stochastic,0,6.0
stochastic,1,31.0
stochastic,2,164.0
stochastic,3,138.0
stochastic,4,51.0
stochastic,5,11.0
stochastic,6,61.0
stochastic,7,17.0
stochastic,8,406.0
stochastic,9,8.0
deterministic,0,1408.0
deterministic,1,59.0
deterministic,2,421.0
deterministic,3,167.0
deterministic,4,62.0
deterministic,5,186.0
deterministic,6,29.0
deterministic,7,245.0
deterministic,8,58.0
deterministic,9,148.0
